Property Price,Property Area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Price per Sq. Unit
4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,1282.6704545454545
4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,993.3481152993348
4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,761.2574341546305
4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished,1120.0
4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished,543.030303030303
4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,1108.9108910891089
4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,703.3018867924528
4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished,1414.6110056925995
4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,1274.3589743589744
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,1185.3333333333333
4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,1111.391129032258
4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,900.0
4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,1528.8194444444443
4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,902.2540983606557
4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,894.9186991869918
4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,885.2525252525253
4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,1121.7948717948718
4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished,964.4444444444445
4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,2278.215223097113
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,1065.0306748466257
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished,1240.0
4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,672.8682170542636
4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished,1071.1805555555557
4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,978.4090909090909
4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,415.5405405405405
4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,1257.9411764705883
4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished,671.3836477987421
4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,671.3836477987421
4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished,948.8888888888889
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,1963.2183908045977
4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished,979.3577981651376
4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished,549.5495495495495
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,636.8421052631579
4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,1519.5550771438823
4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,763.6363636363636
4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,833.3333333333334
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,717.9487179487179
4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,1609.1954022988505
4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,1422.2824246528953
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,1528.9406625409538
4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished,952.3809523809524
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,1050.0
4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,1806.4516129032259
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,913.0434782608696
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,1153.8461538461538
4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,724.1379310344828
4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished,600.0
4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,1029.6641333660211
4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,1193.1818181818182
4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,1958.041958041958
4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished,933.3333333333334
4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,508.24242424242425
4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,1215.3623188405797
4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished,860.5371900826447
4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,1020.8333333333334
4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,1029.4117647058824
4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,891.6234887737478
4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,690.0584795321637
4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,680.3630363036303
4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,1138.4722222222222
4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,1112.7717391304348
4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,1013.6138613861386
4095000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished,731.25
4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,688.1355932203389
4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,813.3012820512821
4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,935.483870967742
